model,Pi_B,K,R,Phi
M3_ODC,0.1,0.41602640431185356,1.0115889447300221,0.002919921875
M3_ODC,0.2,0.4235253996534835,1.0730559102654231,0.004035546875
M3_ODC,0.30000000000000004,0.44820856801872827,1.111682817532601,0.004551171875
M3_ODC,0.4,0.44286245177332195,1.1937278425238589,0.0037640625000000005
M3_ODC,0.5,0.4755188061629442,1.2836062160466546,0.004991796875000001
M3_ODC,0.6000000000000001,0.49178825954742666,1.3647557071301972,0.0067281250000000015
M3_ODC,0.7000000000000001,0.4900812515597126,1.4325990132307513,0.006613671875
M3_ODC,0.8,0.4525959482605685,1.5002941995720187,0.0054937499999999995
M3_ODC,0.9,0.4755394415506391,1.6982225074070503,0.0087875
M2p_HMM,0.1,0.8792875634645438,1.1506981093087216,7.4218750000000025e-06
M2p_HMM,0.2,0.8766009923205972,1.261050625635889,4.0625e-05
M2p_HMM,0.30000000000000004,0.8806332318567646,1.351995531291411,2.5e-05
M2p_HMM,0.4,0.8889084016341378,1.4724769486707312,5.1171875e-05
M2p_HMM,0.5,0.8879894473379218,1.566614231689899,6.992187500000002e-05
M2p_HMM,0.6000000000000001,0.8761872016471381,1.7019630788216944,3.8671875e-05
M2p_HMM,0.7000000000000001,0.8746470965822156,1.7825033053265285,8.437500000000003e-05
M2p_HMM,0.8,0.8774332029638834,1.9180152155776815,5.429687500000002e-05
M2p_HMM,0.9,0.8718609241555286,2.0479128017352477,9.804687500000004e-05
M4_CTRW,0.1,1.0056367577576357,2.4045367056777662,2.527777777777778e-06
M4_CTRW,0.2,0.9970173888175609,1.184365035734142,5.277777777777777e-07
M4_CTRW,0.30000000000000004,1.0015618243181486,1.3420543694673788,2.111111111111111e-06
M4_CTRW,0.4,0.9983651069988504,2.0151007949712683,4.305555555555555e-06
M4_CTRW,0.5,1.0037004484825538,1.4629248830250194,5.277777777777777e-07
M4_CTRW,0.6000000000000001,1.0003022361069096,1.6110120038360114,5.111111111111113e-06
M4_CTRW,0.7000000000000001,1.0045054098799526,2.264809485160734,5.111111111111113e-06
M4_CTRW,0.8,0.9977190351271099,2.1892480085660226,3.28888888888889e-05
M4_CTRW,0.9,1.0004322258938592,3.8096381414877594,5.666666666666666e-06
M5_AR1,0.1,0.9732322806987737,0.7966999287259915,0.010337194444444444
M5_AR1,0.2,0.9974286362972629,0.8253511482223793,0.008919444444444445
M5_AR1,0.30000000000000004,1.0083787462226073,0.8526287240763121,0.009735444444444442
M5_AR1,0.4,1.0354690429122781,0.8894810150239294,0.009451222222222222
M5_AR1,0.5,0.9940658286037678,0.9346482734718979,0.008759194444444443
M5_AR1,0.6000000000000001,0.9995508514007105,0.983352212265778,0.008593194444444445
M5_AR1,0.7000000000000001,1.0063688462739044,1.0579806268093948,0.007464972222222223
M5_AR1,0.8,0.9011895355630062,1.1480196025678306,0.00790475
M5_AR1,0.9,1.0484774512028667,1.2988162073888667,0.007036083333333333
