model,observable,slope,rho,p_linregress,p_permutation
M3_ODC,K,0.07632249493874504,0.7833333333333333,0.01799510842745023,0.01859628074385123
M3_ODC,R,0.806851562438423,1.0,1.1561825738859239e-06,0.0001999600079984003
M3_ODC,Phi,0.005822330729166666,0.8833333333333333,0.001728794358330184,0.0027994401119776045
M2p_HMM,K,-0.008650565973716624,-0.5499999999999999,0.2730410064908883,0.13697260547890422
M2p_HMM,R,1.1083757029587797,1.0,1.419383848322611e-10,0.0001999600079984003
M2p_HMM,Phi,8.496093750000003e-05,0.7999999999999999,0.007429261254342779,0.013397320535892822
M4_CTRW,K,-0.001814814715798622,-0.13333333333333333,0.678065306940179,0.7374525094981004
M4_CTRW,R,1.6794126836645111,0.4666666666666666,0.10341762623001875,0.21695660867826436
M4_CTRW,Phi,1.9407407407407414e-05,0.7899438584070567,0.14441497232333014,0.015596880623875225
M5_AR1,K,-0.004612435265895165,0.2333333333333333,0.9387471545657597,0.5550889822035593
M5_AR1,R,0.5801742467326447,1.0,4.6081697156296344e-05,0.0001999600079984003
M5_AR1,Phi,-0.0036079166666666647,-0.9333333333333332,0.0005173210952732567,0.0007998400319936012
