model,Pi_B,seed_index,seed,K,R,Phi
M3_ODC,0.1,0,1010000,0.5144937415729436,1.0111266151688312,0.003460546875
M3_ODC,0.1,1,1010001,0.45124273080679356,1.0195251725721801,0.003985937499999999
M3_ODC,0.1,2,1010002,0.43493061845061953,1.0055373531033598,0.004098046875
M3_ODC,0.1,3,1010003,0.4489140726288302,1.0186103524900971,0.002741796875
M3_ODC,0.1,4,1010004,0.47410669604410316,1.0186840184958674,0.004904687499999999
M3_ODC,0.1,5,1010005,0.4613990727930988,1.0201615014171095,0.0038671875
M3_ODC,0.1,6,1010006,0.44858484234875107,1.0119167378956302,0.0030511718749999996
M3_ODC,0.1,7,1010007,0.43606050084371184,1.0163991662256353,0.003019921875
M3_ODC,0.1,8,1010008,0.42999502238310494,1.0090522393982988,0.0029574218750000004
M3_ODC,0.1,9,1010009,0.5168283134685923,1.0214995825854372,0.004426171875
M3_ODC,0.1,10,1010010,0.43209870792172045,1.0131854223911008,0.00509375
M3_ODC,0.1,11,1010011,0.4336098207967579,1.0117601252280053,0.0033343749999999992
M3_ODC,0.1,12,1010012,0.4323282494112812,1.0208982444668793,0.003834374999999999
M3_ODC,0.1,13,1010013,0.46356970642409945,1.00637227126074,0.005473046875
M3_ODC,0.1,14,1010014,0.38944845683904106,1.0162908928180947,0.0035542968750000006
M3_ODC,0.1,15,1010015,0.44588584951413457,1.0131891946609861,0.0031324218750000002
M3_ODC,0.1,16,1010016,0.39576486333249783,1.0149929696985591,0.0030328125
M3_ODC,0.1,17,1010017,0.49910157385213005,1.014784683760961,0.004038671875000001
M3_ODC,0.1,18,1010018,0.4177940007639027,1.013981689887829,0.003019921875
M3_ODC,0.1,19,1010019,0.4379895903787953,1.017146707630932,0.0031136718749999997
M3_ODC,0.2,0,1020000,0.49305104962669616,1.0609843010619902,0.0058734375
M3_ODC,0.2,1,1020001,0.4750684078813484,1.0724088768515487,0.004435937499999999
M3_ODC,0.2,2,1020002,0.44339985349255817,1.0656079674272545,0.003615625
M3_ODC,0.2,3,1020003,0.46198738318993754,1.06561239330047,0.0035667968749999992
M3_ODC,0.2,4,1020004,0.43883868715276625,1.0709816183296519,0.004023046875
M3_ODC,0.2,5,1020005,0.44082118879745813,1.075369921031053,0.004632421875
M3_ODC,0.2,6,1020006,0.42167695879082423,1.0671869640496459,0.0047953125
M3_ODC,0.2,7,1020007,0.4168536047969751,1.0648804519757136,0.0046421875
M3_ODC,0.2,8,1020008,0.4383026906447656,1.0753265680093032,0.00519375
M3_ODC,0.2,9,1020009,0.43533164024672566,1.0727108212840961,0.0034574218749999996
M3_ODC,0.2,10,1020010,0.5285956586574296,1.0644777129601581,0.0040824218750000005
M3_ODC,0.2,11,1020011,0.4668674070283493,1.0620787285724684,0.0060218749999999995
M3_ODC,0.2,12,1020012,0.46629825329789654,1.066994539036973,0.0037671875
M3_ODC,0.2,13,1020013,0.42220131183501264,1.063818726603467,0.005157812500000001
M3_ODC,0.2,14,1020014,0.41690802850500996,1.0603011958486397,0.003504296875
M3_ODC,0.2,15,1020015,0.4340872488655222,1.0725192591465562,0.004407812499999999
M3_ODC,0.2,16,1020016,0.4338868187771133,1.0628706110602342,0.004348046874999999
M3_ODC,0.2,17,1020017,0.48958896488104664,1.0744352776006463,0.00615
M3_ODC,0.2,18,1020018,0.42549919703091393,1.0580813612436006,0.006285546875000001
M3_ODC,0.2,19,1020019,0.410770043530342,1.0623744010535499,0.004101171874999999
M3_ODC,0.30000000000000004,0,1030000,0.44338132336576064,1.1093158071381957,0.0036109375000000004
M3_ODC,0.30000000000000004,1,1030001,0.4878491677428195,1.1163780801304877,0.004116796875
M3_ODC,0.30000000000000004,2,1030002,0.4247025156303227,1.117578094843935,0.0040765625
M3_ODC,0.30000000000000004,3,1030003,0.4858907478486304,1.120963588151333,0.0053578125
M3_ODC,0.30000000000000004,4,1030004,0.49677204510041073,1.1147553321319734,0.004926171875
M3_ODC,0.30000000000000004,5,1030005,0.4787523275033737,1.1219635994541,0.005366796875
M3_ODC,0.30000000000000004,6,1030006,0.42406015682232995,1.1218324630821663,0.0044546875
M3_ODC,0.30000000000000004,7,1030007,0.4532176991056331,1.1267232070921411,0.005579687499999999
M3_ODC,0.30000000000000004,8,1030008,0.46263663242470426,1.1209531686805654,0.005066796875
M3_ODC,0.30000000000000004,9,1030009,0.4481240490829753,1.1232802409288214,0.005082421875
M3_ODC,0.30000000000000004,10,1030010,0.4240087524544456,1.116648893836176,0.003785546875000001
M3_ODC,0.30000000000000004,11,1030011,0.4437229799088114,1.1124836092113397,0.0036386718750000004
M3_ODC,0.30000000000000004,12,1030012,0.4940253749254405,1.1161390839879928,0.005103125000000002
M3_ODC,0.30000000000000004,13,1030013,0.44036124346824357,1.1085936767314204,0.0044199218750000015
M3_ODC,0.30000000000000004,14,1030014,0.4623179321545612,1.1269035845681297,0.004898046874999999
M3_ODC,0.30000000000000004,15,1030015,0.46748594847712877,1.1369568154929337,0.0039234375
M3_ODC,0.30000000000000004,16,1030016,0.4729230925541793,1.1264742418579503,0.004801171875
M3_ODC,0.30000000000000004,17,1030017,0.44311151970180074,1.111233229745973,0.004841796875
M3_ODC,0.30000000000000004,18,1030018,0.46140027218990676,1.1188558655658516,0.0043375
M3_ODC,0.30000000000000004,19,1030019,0.4597113299075046,1.1171717708216733,0.0061859375
M3_ODC,0.4,0,1040000,0.46507748399787596,1.178439580154621,0.008144921874999999
M3_ODC,0.4,1,1040001,0.45086387425522406,1.1852192134023374,0.005863671874999999
M3_ODC,0.4,2,1040002,0.4477564763915428,1.1936871938393707,0.004176171875
M3_ODC,0.4,3,1040003,0.4181125979353092,1.1886583705099347,0.0040355468750000005
M3_ODC,0.4,4,1040004,0.43523130923180114,1.1832732859265858,0.006973046875
M3_ODC,0.4,5,1040005,0.456378068295894,1.187188342576695,0.004234374999999999
M3_ODC,0.4,6,1040006,0.5048367093686904,1.18543907140983,0.004694921874999999
M3_ODC,0.4,7,1040007,0.45397352956920045,1.1691593330935361,0.004275
M3_ODC,0.4,8,1040008,0.43753293041590613,1.1849014822174504,0.006509375
M3_ODC,0.4,9,1040009,0.49274382738739275,1.2047413733822248,0.004519921875
M3_ODC,0.4,10,1040010,0.4324644310344802,1.1819267957919861,0.0073140624999999985
M3_ODC,0.4,11,1040011,0.4333350113522567,1.1938568495519981,0.006040625
M3_ODC,0.4,12,1040012,0.4149924171939997,1.1908597410554556,0.004109374999999999
M3_ODC,0.4,13,1040013,0.4115727798895429,1.180857437415711,0.0048375
M3_ODC,0.4,14,1040014,0.4277568974424159,1.1961441332267522,0.005115625
M3_ODC,0.4,15,1040015,0.4497423453102454,1.198509170047893,0.0047203125000000005
M3_ODC,0.4,16,1040016,0.5243821190082667,1.18955328830943,0.005193749999999999
M3_ODC,0.4,17,1040017,0.4510720188752484,1.1679154367694795,0.0055796875000000004
M3_ODC,0.4,18,1040018,0.41311048636767794,1.1741515120857842,0.004798437500000001
M3_ODC,0.4,19,1040019,0.5089002496360912,1.1784041102034752,0.0058453125
M3_ODC,0.5,0,1050000,0.41875499679691486,1.2562691433560769,0.0055093749999999995
M3_ODC,0.5,1,1050001,0.46003625727613756,1.2674641925864765,0.0066500000000000005
M3_ODC,0.5,2,1050002,0.5021693209437372,1.2458198415200328,0.006466796875
M3_ODC,0.5,3,1050003,0.444848209466019,1.2510835644352458,0.006082421875
M3_ODC,0.5,4,1050004,0.44336387508790914,1.241388510924584,0.005163671874999999
M3_ODC,0.5,5,1050005,0.4564466635467365,1.3139662147298115,0.006134374999999999
