model,Pi_B,observable,n,mean,sd,ci95_low,ci95_high
M2p_HMM,0.1,K,20,0.8745805566749991,0.00635326462315905,0.8717961156860192,0.877364997663979
M2p_HMM,0.1,R,20,1.1608255826136031,0.006841412719174589,1.1578272012887707,1.1638239639384356
M2p_HMM,0.1,Phi,20,1.046875e-05,9.488756114406368e-06,6.310119276029036e-06,1.4627380723970964e-05
M2p_HMM,0.2,K,20,0.8760950886628243,0.008065803831669095,0.8725600942733094,0.8796300830523391
M2p_HMM,0.2,R,20,1.2596201237606581,0.00831139939491466,1.2559774923697629,1.2632627551515534
M2p_HMM,0.2,Phi,20,2.2460937500000006e-05,1.1475336579350297e-05,1.7431649499401042e-05,2.749022550059897e-05
M2p_HMM,0.30000000000000004,K,20,0.8742123153892474,0.005102094557517019,0.8719762238586324,0.8764484069198624
M2p_HMM,0.30000000000000004,R,20,1.3617701730594172,0.007452927122491534,1.3585037837306775,1.3650365623881568
M2p_HMM,0.30000000000000004,Phi,20,3.93359375e-05,2.466107768468161e-05,2.8527743664135168e-05,5.014413133586484e-05
M2p_HMM,0.4,K,20,0.873313007029538,0.004398028442242353,0.871385486079027,0.8752405279800489
M2p_HMM,0.4,R,20,1.471615938941956,0.009677337609073154,1.4673746587338758,1.4758572191500363
M2p_HMM,0.4,Phi,20,4.501953125000001e-05,2.104262314862678e-05,3.5797195036092944e-05,5.424186746390707e-05
M2p_HMM,0.5,K,20,0.8741152841217023,0.005011982230834253,0.8719186860595496,0.8763118821838549
M2p_HMM,0.5,R,20,1.5736419145532523,0.010988338119498826,1.5688260630382418,1.5784577660682628
M2p_HMM,0.5,Phi,20,5.4492187500000016e-05,3.2200416776236336e-05,4.037973262016416e-05,6.860464237983587e-05
M2p_HMM,0.6000000000000001,K,20,0.8755233111548822,0.0063633182664993475,0.8727344639624359,0.8783121583473286
M2p_HMM,0.6000000000000001,R,20,1.6940907376537424,0.012760804794389886,1.6884980683680417,1.699683406939443
M2p_HMM,0.6000000000000001,Phi,20,8.164062500000003e-05,4.0377933559102415e-05,6.394421537109193e-05,9.933703462890814e-05
M2p_HMM,0.7000000000000001,K,20,0.87350730681848,0.005947138614329229,0.8709008584006822,0.8761137552362778
M2p_HMM,0.7000000000000001,R,20,1.806191969444511,0.01736212339104687,1.7985826833698315,1.8138012555191905
